Country,Total Population Male,Total Population Female,Total Population Both,Life Expectancy Male,Life Expectancy Female,Life Expectancy Both ,Healthy Life Expectancy Male,Healthy Life Expectancy Female,Healthy Life Expectancy Both ,Maternal Mortality Ratio,Prop Births Skilled,Mortality Rate < 5,Neonatal Mortality Rate,New HIV,TB Incidence ,Malaria Incidence,HepB age < 5,NTD Reported,Prob Death CVD+ ,Suicide Rate,Total Alcohol > 14,Road Mortality,Family Planning,Ad Birth Rate 15-19,Ad Birth Rate 10-14,Univ Health Care,Health care 10 > expend,Health care 25 > expend,Air Pollut Mortality,WASH Mortality,Poison Mortality,Tobacco Use < 15,DPT3 Immuno ,MCV2 immuno,PCV3 immuno,HPV immuno,Research Health ,Medicine Affordable ,Doctor Density,Density Nursing,Density Dentist,Density Pharmacist,Health Reg Score,MRSA,Ecoli,Gov Expend Health,Stunting < 5,Wasting < 5,Overweight < 5,Anaemia Women 15-49,Violence Girls Partner 15-49,Violence Girls Partner Lifetime,Water Safe,Sanitation Service,Hand Washing,Water Treated,Dev Expend Mil,Clean Fuel Tech,Pollution Urban,Homicide Mortality,Polio Cases,Hypertension 30-79,Obesity 5-19,Obesity Adults
Ghana,15 750,15 323,31 073,63.7,69.2,66.3,56.5,59.6,58.0,308,79,45,23,0.63,143,162.8,2.13,17 220 101,22.5,6.6,2.8,25.7,40.4,78.0,0.7,45,1.3,0.1,203.8,18.8,1.7,3.5,94,79,95,-,4.09,12.5,1.7,36.2,0.2,0.4,46,-,64,6.5,14.2,6.8,2.9,35.4,10,24,41,13,42,12,69.51,22,55.6,6.1,0,33.9,2.1,10.9
Greece,5 116,5 307,10 423,78.6,83.6,81.1,69.9,71.9,70.9,3,100,4,2,0.09,5,-,0.14,  41,12.5,5.1,10.5,8.3,-,8.7,0.4,78,16.9,1.6,27.6,<0.1,0.2,33.5,99,83,96,-,-,-,63.1,37.3,12.9,10.9,71,41,25,7.9,2.2,-,13.9,15.1,5,18,100,92,-,93,-,100,15.0,1.0,0,31.3,13.8,24.9
Grenada, 57, 56, 113,70.6,75.3,72.9,62.6,65.4,63.9,25,100,16,11,-,3,-,0.12,  253,23.3,0.7,9,8,-,35.9,1.1,70,-,-,45.3,0.3,<0.1,-,72,79,-,32,9.26,-,14.4,62.8,2.0,6.8,-,-,-,9.4,-,-,-,19.2,8,28,-,-,-,-,5.23,89,23.1,6.6,0,46.6,10.7,21.3
Guatemala,8 827,9 088,17 916,69.0,75.0,72.0,60.5,64.1,62.3,95,70,24,11,0.05,27,<0.1,0.03,5 052 069,16.5,5.9,1.6,22.9,66.1,63.3,1.7,57,11.4,3.8,73.8,6.3,1.6,10.9,83,79,86,20,1.45,-,12.4,22.4,2.5,1.2,45,-,-,17.6,42.8,0.8,5.1,7.4,7,21,56,-,-,-,8.59,50,30.9,25.1,0,32.2,9.9,21.2
Guinea,6 353,6 780,13 133,59.5,62.3,61.0,52.9,53.7,53.3,576,55,96,30,0.42,179,319.5,6.07,8 180 533,24.9,7,1.1,29.7,37.7,120.0,4.4,37,7.0,1.2,243.3,44.6,2.3,-,47,-,-,-,5.40,12.5,2.2,5.8,<0.1,0.2,47,-,-,6.2,29.4,9.2,5.7,48.0,21,37,-,-,20,-,10.66,2,53.8,8.8,0,40.9,1.7,7.7
Guinea-Bissau, 963,1 005,1 968,57.4,63.0,60.2,51.1,54.1,52.6,667,54,77,35,0.88,361,88.9,2.11,1 892 353,24.9,7,5.5,32.2,60,84.0,1.6,37,-,-,214.7,35.3,2.3,9.0,74,-,74,-,15.44,-,2.0,7.9,<0.1,<0.1,46,-,-,2.8,28.0,6.4,3.4,48.1,-,-,24,12,18,21,2.21,1,55.0,9.0,0,38.0,2.4,9.5
Guyana, 396, 391, 787,62.5,69.4,65.7,55.1,59.7,57.2,169,98,28,17,0.43,79,28.2,0.4, 685 741,29.2,40.3,5.3,22.3,51.5,64.9,1.3,74,-,-,107.8,3.6,<0.1,12.1,99,97,89,25,1.99,-,14.2,35.3,0.7,0.6,93,-,-,10.3,9.0,6.4,6.6,31.7,10,31,-,-,-,-,2.45,81,26.8,24.7,0,40.0,10.0,20.2
Haiti,5 626,5 776,11 403,63.3,64.8,64.1,55.9,55.8,55.8,480,42,60,25,0.45,168,3.7,1.04,4 363 545,31.3,9.6,3,18.8,45.4,54.8,1.3,47,11.5,4.0,184.3,23.8,1.4,7.7,51,41,51,-,6.25,-,2.3,4.0,0.2,0.3,54,-,-,5.4,20.4,3.7,3.7,47.7,12,23,-,-,22,-,30.18,4,19.5,20.7,0,42.9,10.9,22.7
Honduras,4 949,4 956,9 905,70.7,73.2,71.9,62.7,63.3,63.0,65,94,16,9,0.07,30,0.1,0.03,2 210 111,18.7,2.1,3.9,16.1,76,97.1,2.5,63,-,-,60.7,3.6,0.5,-,80,79,80,47,7.17,-,5.0,7.3,0.3,-,58,-,-,11.1,19.9,1.4,5.7,18.0,7,17,-,50,-,-,64.60,48,25.4,66.9,0,33.9,9.6,21.4
Hungary,4 598,5 062,9 660,73.1,79.6,76.4,65.0,69.3,67.2,12,100,4,2,-,5,-,0.9,  1,22.1,16.6,11.1,7.7,-,21.1,0.2,73,-,-,38.8,0.2,0.5,31.8,99,99,99,-,-,-,60.6,69.2,7.4,8.4,68,-,-,9.4,-,-,-,19.7,6,19,93,88,-,90,-,100,16.7,1.4,0,48.3,11.1,26.4
